AccessId,ByWho,WhatPage,TypeOfAccess,AccessTime
124,13765,69750,Wrote on Timeline,456099
125,195970,62479,Wrote on Timeline,734433
126,44314,114083,Sent a Message,421423
127,43381,100154,Other,454232
128,4066,51711,Added a Friendship,760104
129,199739,108798,Other,118996
130,130744,125069,Poked,320520
131,25038,182145,Poked,218615
132,45647,92493,Added a Friendship,643612
133,120111,95304,Wrote on Timeline,162272
134,59957,38,Poked,224927
135,114770,24454,Sent a Message,923351
136,75654,44027,Wrote on Timeline,278696
137,39672,96957,Wrote on Timeline,839562
138,20691,17761,Wrote on Timeline,347001
139,167911,124098,Poked,673711
140,155329,21015,Poked,990891
141,75102,192128,Wrote on Timeline,517381
142,89385,158646,Sent a Message,197841
143,138086,120713,Poked,234203
144,162210,113477,Poked,374302
145,6095,182887,Viewed,843149
146,48121,103819,Added a Friendship,594328
147,158393,117295,Added a Friendship,154344
148,73941,151016,Sent a Message,592415
149,6940,198079,Viewed,970534
150,1844,93456,Added a Friendship,233866
151,166627,94426,Other,496814
152,62836,162155,Sent a Message,870090
153,31043,164053,Viewed,528692
154,14766,43280,Added a Friendship,448612
155,19380,30271,Viewed,989368
156,89532,105490,Added a Friendship,433738
157,50067,91404,Poked,442438
158,19589,24630,Other,933138
159,136464,84511,Added a Friendship,732797
160,105629,83210,Poked,566969
161,43003,82549,Added a Friendship,481482
162,173036,54660,Wrote on Timeline,605463
163,146830,158185,Other,991981
164,20078,2056,Viewed,422323
165,178000,105866,Poked,307396
166,11181,78362,Wrote on Timeline,984712
167,169934,139726,Sent a Message,469580
168,1199,196654,Other,51712
169,79879,3189,Viewed,370439
170,122541,177125,Added a Friendship,909264
171,115584,174907,Wrote on Timeline,87168
172,86898,33668,Wrote on Timeline,297564
173,8463,120228,Other,927529
174,39372,9338,Other,85432
175,164903,165904,Added a Friendship,341916
176,29222,121398,Other,366168
177,26192,166093,Wrote on Timeline,518899
178,95505,155937,Poked,909115
179,175822,45426,Added a Friendship,988101
180,67374,196357,Added a Friendship,557173
181,189312,109800,Viewed,178308
182,191488,132475,Other,394671
183,192141,129581,Sent a Message,484039
184,136572,191301,Viewed,729418
185,132751,21173,Poked,216890
186,175329,175938,Added a Friendship,611682
187,148118,135298,Poked,424460
188,133547,47579,Viewed,790121
189,137960,73012,Sent a Message,987521
190,145986,160257,Viewed,116529
191,115261,121047,Poked,434965
192,185935,85459,Poked,380034
193,132819,158433,Sent a Message,648284
194,141362,192774,Viewed,24670
195,71323,17540,Wrote on Timeline,967690
196,167632,197524,Sent a Message,414188
197,98175,160163,Sent a Message,100625
198,44344,1056,Sent a Message,668397
199,178708,117145,Added a Friendship,572480
200,37322,95646,Added a Friendship,258033
201,63468,158630,Added a Friendship,833065
202,38341,190955,Added a Friendship,263145
203,33068,184090,Added a Friendship,400275
204,185893,79567,Viewed,42786
205,18439,194203,Poked,943961
206,104775,117957,Viewed,568533
207,152775,35812,Viewed,856952
208,56535,140835,Added a Friendship,651138
209,73536,169280,Viewed,970920
210,125121,183939,Added a Friendship,46131
211,185760,27090,Added a Friendship,537208
212,159225,170621,Wrote on Timeline,739658
213,169270,3041,Wrote on Timeline,912180
214,166766,90443,Wrote on Timeline,823970
215,199443,146790,Wrote on Timeline,655854
216,188534,25660,Other,175917
217,60265,14766,Added a Friendship,706528
218,14905,196113,Other,26156
219,75028,145669,Other,949294
220,16762,110581,Sent a Message,492183
221,33685,44129,Poked,786787
222,34463,131576,Other,919173
223,73704,140599,Added a Friendship,947679
224,146713,102832,Wrote on Timeline,631150
225,72557,86,Wrote on Timeline,938411
226,51002,140915,Wrote on Timeline,536817
227,18574,3534,Sent a Message,568414
228,140618,67818,Added a Friendship,83058
229,9571,183828,Other,222198
230,198902,192615,Added a Friendship,948141
231,74802,159972,Viewed,532125
232,176154,70273,Poked,11203
233,101357,172057,Viewed,573382
234,161889,117590,Poked,548737
235,127453,160706,Poked,760364
236,190980,177686,Added a Friendship,597462
237,118087,17057,Poked,123877
238,45551,130806,Poked,848531
239,199029,93260,Added a Friendship,433484
240,62405,22976,Poked,954885
241,75839,81253,Poked,495645
242,12547,110956,Added a Friendship,140104
243,111109,92750,Sent a Message,230152
244,68106,42872,Poked,271806
245,18774,144668,Other,866795
246,172665,146790,Added a Friendship,60355
247,101372,50291,Viewed,597429
248,116816,169929,Sent a Message,233309
249,82228,152241,Wrote on Timeline,809278
250,32675,38213,Poked,690962
251,182254,136699,Viewed,195372
252,28158,151854,Poked,101558
253,174711,135689,Viewed,36181
254,189813,97436,Wrote on Timeline,764963
255,177769,45724,Viewed,80324
256,30980,170433,Poked,314705
257,72435,152640,Sent a Message,867390
258,157348,95188,Poked,264855
259,77921,59798,Other,344919
260,57290,99340,Other,654951
261,88480,74908,Sent a Message,294340
262,197114,93577,Poked,15476
263,178918,87009,Viewed,16538
264,135872,52645,Other,581026
265,70680,191574,Viewed,163101
266,153619,70130,Viewed,342657
267,74482,7719,Poked,169772
268,168752,52247,Poked,571587
269,191214,71796,Other,553500
270,190981,192689,Sent a Message,678110
271,47364,179745,Other,544991
272,16566,53289,Viewed,593044
273,35988,68652,Viewed,312930
274,152103,34225,Poked,850480
275,51065,47679,Sent a Message,20752
276,140695,106778,Viewed,9317
277,79069,57210,Sent a Message,302335
278,81088,164956,Viewed,848999
279,39573,114223,Viewed,700877
280,151530,92016,Sent a Message,664310
281,84184,128799,Other,85931
282,199264,35354,Other,453522
283,92322,173979,Poked,337994
284,70896,35239,Other,926667
285,33399,83355,Added a Friendship,371213
286,140058,120435,Wrote on Timeline,312227
287,191392,52176,Viewed,627820
288,97287,142249,Sent a Message,259320
289,161553,20440,Viewed,598461
290,72169,174136,Other,837247
291,8150,38548,Poked,821369
292,156173,88874,Poked,382837
293,114666,116245,Wrote on Timeline,110092
294,176071,72554,Other,277854
295,160834,159399,Sent a Message,399797
296,144054,65206,Other,326579
297,82888,172797,Other,903743
298,59635,187782,Viewed,549760
299,159942,41337,Other,720874
300,111897,40941,Sent a Message,942380
301,190271,160354,Wrote on Timeline,266024
302,57645,125081,Added a Friendship,177089
303,27623,177314,Sent a Message,244363
304,44889,160857,Other,130883
305,123427,50595,Sent a Message,724312
306,76931,14822,Viewed,467287
307,35083,87537,Poked,112656
308,170342,128715,Wrote on Timeline,936090
309,99509,189984,Added a Friendship,145941
310,105996,51137,Viewed,254074
311,152223,102781,Added a Friendship,464430
312,115769,83122,Sent a Message,777584
313,103438,91803,Sent a Message,452914
314,94725,126829,Other,423768
315,56681,79123,Added a Friendship,437811
316,4118,117837,Sent a Message,461453
317,75204,104395,Other,469497
318,47635,195623,Other,322534
319,75945,102605,Added a Friendship,835535
320,3931,154192,Wrote on Timeline,435574
321,78213,48615,Other,365258
322,150485,39908,Other,720055
323,169059,50838,Other,434387
324,153876,3593,Added a Friendship,70786
325,23487,56892,Sent a Message,248097
326,100428,41841,Viewed,794080
327,155712,37960,Other,860755
328,29981,99741,Poked,847408
329,166738,86488,Viewed,904195
330,187295,91131,Sent a Message,169119
331,14163,178317,Poked,798948
332,157227,121257,Sent a Message,54909
333,81476,45075,Viewed,24227
334,55131,35554,Poked,212109
335,142229,97969,Wrote on Timeline,533417
336,45628,186128,Poked,757591
337,46757,86224,Sent a Message,722295
338,51753,116422,Added a Friendship,619403
339,60773,34764,Other,564070
340,28898,185847,Sent a Message,36768
341,197327,156146,Added a Friendship,915389
342,58189,136985,Sent a Message,991159
343,133457,110888,Wrote on Timeline,369787
344,74380,8487,Viewed,472613
345,145475,169326,Added a Friendship,207783
346,186598,64521,Viewed,898464
347,179752,34330,Poked,936799
348,165804,114041,Sent a Message,769931
349,147556,153646,Wrote on Timeline,487419
350,131191,140472,Poked,656481
351,5692,34960,Other,595267
352,182536,174668,Sent a Message,170889
353,170284,176725,Other,309214
354,132062,144598,Wrote on Timeline,670561
355,27134,71389,Poked,203604
356,62209,93768,Poked,406495
357,187625,33584,Added a Friendship,862598
358,128712,181865,Added a Friendship,835124
359,128807,53818,Added a Friendship,142018
360,9988,58251,Wrote on Timeline,677469
361,118080,31328,Viewed,238254
362,82013,133272,Wrote on Timeline,521083
363,128740,84493,Sent a Message,6677
364,70548,25919,Added a Friendship,321367
365,81900,97486,Viewed,79100
366,2697,18103,Viewed,757313
367,74721,92384,Wrote on Timeline,530489
368,40037,186884,Other,167303
369,58224,109824,Viewed,228540
370,45202,68945,Poked,171592
371,98033,22888,Poked,329733
372,161842,166094,Other,959575
373,173841,190547,Wrote on Timeline,670626
374,8850,144428,Poked,480117
375,138894,86364,Sent a Message,297602
376,114312,90596,Added a Friendship,551694
377,24201,79415,Poked,116855
378,43230,61453,Wrote on Timeline,833050
379,6012,153613,Sent a Message,398396
380,42240,11067,Sent a Message,875364
381,186657,23178,Other,497592
382,31290,70385,Viewed,78551
383,64864,23245,Sent a Message,871852
384,21128,91955,Other,485148
385,15498,122933,Poked,488906
386,56051,195754,Viewed,752946
387,126827,56827,Other,813450
388,129961,55783,Viewed,680475
389,114830,29607,Wrote on Timeline,352146
390,119546,111800,Poked,480018
391,176109,145179,Added a Friendship,49924
392,58952,92100,Sent a Message,92961
393,112288,94272,Sent a Message,807705
394,195863,29105,Sent a Message,197187
395,50394,49385,Viewed,641090
396,190756,23851,Sent a Message,432666
397,34023,41401,Viewed,751404
398,77619,195298,Added a Friendship,758515
399,57175,167665,Other,952186
400,55622,157275,Poked,933509
401,105682,151244,Added a Friendship,224341
402,140922,106812,Poked,626594
403,188727,166981,Added a Friendship,390182
404,128055,50803,Other,989538
405,92673,85607,Poked,885658
406,45247,147013,Wrote on Timeline,994585
407,178657,16815,Viewed,150089
408,64304,5253,Viewed,690252
409,144204,42563,Sent a Message,686721
410,32646,74566,Other,161805
411,172626,131207,Added a Friendship,107210
412,169904,117993,Sent a Message,354947
413,139169,13009,Other,253994
414,9386,171212,Viewed,353833
415,67955,61774,Wrote on Timeline,775936
416,84425,182197,Other,22643
417,105716,111698,Viewed,471583
418,32939,56358,Viewed,896991
419,167297,190460,Poked,264039
420,109461,18130,Sent a Message,118835
421,61780,81255,Viewed,411022
422,143547,67152,Poked,95932
423,27688,116525,Added a Friendship,861344
424,139927,80322,Sent a Message,34072
425,124268,115137,Other,883140
426,124061,138725,Other,839053
427,97026,43243,Other,522853
428,130990,75272,Poked,592457
429,132274,51692,Other,538601
430,82299,135445,Wrote on Timeline,192890
431,135142,30826,Sent a Message,242064
432,33008,103204,Wrote on Timeline,151036
433,47694,178727,Added a Friendship,833852
434,34287,161979,Sent a Message,409589
435,21792,32852,Sent a Message,911610
436,68840,14184,Poked,24735
437,142486,172354,Viewed,46696
438,148612,74086,Sent a Message,684066
439,41057,21723,Sent a Message,512392
440,143028,161579,Poked,657881
441,124619,145405,Other,543562
442,80621,21679,Sent a Message,24105
443,118680,82764,Sent a Message,397258
444,90673,47534,Viewed,937378
445,184448,73041,Poked,705030
446,134973,163284,Other,39865
447,122128,15941,Sent a Message,374207
448,133900,112174,Poked,694684
449,68013,47193,Wrote on Timeline,197833
450,123430,54511,Wrote on Timeline,818103
451,79656,63803,Viewed,723678
452,147931,116526,Viewed,909713
453,123182,153436,Wrote on Timeline,185485
454,22333,46861,Added a Friendship,339622
455,190353,140975,Poked,553870
456,112178,77282,Other,971264
457,7856,199273,Wrote on Timeline,190066
458,57563,144912,Poked,19567
459,154820,145462,Viewed,526799
460,190377,83938,Wrote on Timeline,159137
461,69636,147726,Added a Friendship,462578
462,65236,185688,Sent a Message,101177
463,108134,25157,Viewed,652774
464,151337,156156,Other,512862
465,27208,160663,Other,438729
466,160019,95098,Sent a Message,326922
467,132104,136263,Wrote on Timeline,417274
468,76707,163300,Wrote on Timeline,961331
469,196977,127985,Viewed,364372
470,158366,124431,Poked,891545
471,101185,181899,Other,255200
472,171136,43486,Poked,136092
473,140619,115187,Wrote on Timeline,378475
474,9329,7873,Added a Friendship,568935
475,179715,11859,Other,997832
476,89959,188292,Added a Friendship,824252
477,93756,132288,Other,176893
478,58201,139314,Wrote on Timeline,304302
479,163386,167009,Poked,789310
480,117658,168071,Sent a Message,660340
481,115983,20523,Poked,533243
482,127895,152910,Sent a Message,580038
483,178560,90814,Viewed,421425
484,72296,26678,Viewed,962585
485,18078,83241,Sent a Message,901553
486,144817,86592,Other,463040
487,100847,129944,Sent a Message,279255
488,65878,68699,Viewed,163369
489,122251,97293,Viewed,981611
490,146431,23015,Poked,130593
491,168021,93914,Wrote on Timeline,589053
492,102102,168822,Other,101171
493,126101,162406,Added a Friendship,853065
494,121604,125751,Wrote on Timeline,887683
495,194722,171555,Poked,82004
496,30389,108673,Added a Friendship,280715
497,104887,157710,Poked,45135
498,96938,76429,Added a Friendship,491478
499,99131,184512,Viewed,290588
500,45946,91679,Viewed,852474
501,55718,34527,Added a Friendship,242439
502,74136,191711,Added a Friendship,755943
503,77549,113182,Added a Friendship,90504
504,129432,44136,Viewed,265281
505,24756,108696,Other,293948
506,12225,83634,Sent a Message,567687
507,82443,181781,Added a Friendship,129367
508,167383,188498,Sent a Message,279238
509,52471,83404,Added a Friendship,622698
510,81021,21548,Viewed,416451
511,142564,145819,Sent a Message,875573
512,76442,119007,Other,98747
513,53002,159884,Other,397338
514,89134,116713,Other,706579
515,59069,21002,Added a Friendship,339659
516,25974,179659,Other,297328
517,104924,173508,Viewed,559932
518,81744,47228,Other,285351
519,176896,57599,Other,25239
520,28368,157074,Poked,793991
521,62599,72783,Poked,177388
522,106477,159853,Sent a Message,559867
523,31907,87443,Other,90716
524,96002,161448,Added a Friendship,505236
525,199837,192029,Wrote on Timeline,353568
526,131915,180820,Poked,44949
527,180091,104570,Poked,855700
528,70833,182805,Sent a Message,236743
529,74729,155626,Added a Friendship,997698
530,116481,14436,Poked,923846
531,74104,117169,Viewed,55262
532,189911,21846,Wrote on Timeline,491291
533,31542,179470,Other,845902
534,34704,51876,Other,288113
535,135008,56059,Other,149620
536,144557,153269,Poked,115046
537,96784,23974,Poked,636980
538,171476,167263,Poked,63399
539,46275,73186,Viewed,173929
540,134993,106289,Sent a Message,96240
541,75902,43366,Added a Friendship,931763
542,69885,106743,Poked,126068
543,175725,132923,Wrote on Timeline,792643
544,111555,121075,Wrote on Timeline,158060
545,10714,112392,Wrote on Timeline,252334
546,148184,158039,Viewed,97983
547,162517,37821,Wrote on Timeline,169111
548,124718,160401,Other,636206
549,195982,44022,Added a Friendship,16523
550,119869,104978,Poked,291471
551,35193,192607,Sent a Message,760797
552,169009,42384,Poked,74217
553,119754,35769,Other,293683
554,127727,28249,Other,600159
555,184003,31046,Viewed,198626
556,137573,149956,Wrote on Timeline,737705
557,139335,195257,Other,866857
558,166641,49458,Other,356611
559,123224,135640,Other,204417
560,184550,59037,Other,250170
561,10309,170649,Sent a Message,565314
562,146238,124768,Wrote on Timeline,724451
563,137898,48474,Sent a Message,274774
564,55009,62495,Wrote on Timeline,898670
565,141482,111953,Added a Friendship,875442
566,139624,169854,Sent a Message,442803
567,88545,59759,Poked,961153
568,39962,30135,Sent a Message,19991
569,177004,31811,Viewed,900003
570,5111,7814,Viewed,714755
571,26921,174544,Added a Friendship,767584
572,114678,194208,Sent a Message,978451
573,130218,120122,Wrote on Timeline,942594
574,198873,10650,Viewed,683734
575,18013,71844,Poked,949216
576,158872,47327,Viewed,725163
577,91868,118517,Other,541488
578,113749,49116,Wrote on Timeline,47252
579,180802,49917,Sent a Message,625074
580,30627,147685,Wrote on Timeline,718295
581,15564,146349,Viewed,330016
582,86710,110326,Wrote on Timeline,285027
583,39519,62860,Viewed,122493
584,48796,83410,Sent a Message,99692
585,199183,111345,Other,615072
586,29285,119921,Poked,78931
587,171261,157763,Other,292409
588,56835,12123,Added a Friendship,22413
589,72679,122017,Other,46867
590,75995,26115,Sent a Message,579726
591,18791,37232,Poked,663022
592,136450,170399,Poked,363046
593,144842,67662,Viewed,458964
594,122749,124931,Wrote on Timeline,844503
595,52896,112389,Wrote on Timeline,763190
596,4623,139842,Added a Friendship,594762
597,61367,83738,Sent a Message,86534
598,137968,194091,Other,218045
599,141327,43000,Wrote on Timeline,226786
600,100782,63077,Wrote on Timeline,289649
601,10501,198712,Viewed,309677
602,22817,57189,Wrote on Timeline,595946
603,64282,5666,Sent a Message,965768
604,37121,29179,Viewed,615851
605,178196,166978,Other,589987
606,85190,54680,Viewed,566464
607,44051,81209,Other,314852
608,53266,145948,Viewed,560824
609,176015,176782,Added a Friendship,630235
610,14788,88210,Added a Friendship,290399
611,16054,6371,Sent a Message,501633
612,146200,174106,Wrote on Timeline,836820
613,191386,76216,Poked,358850
614,196139,120599,Viewed,91905
615,106154,178552,Poked,127992
616,131565,192212,Added a Friendship,467839
617,4552,194389,Wrote on Timeline,178814
618,56444,128884,Wrote on Timeline,931547
619,22993,113844,Other,443093
620,172116,47861,Wrote on Timeline,84057
621,193496,62216,Poked,980565
622,37280,42002,Other,508363
623,113633,182294,Added a Friendship,17661
624,141171,12320,Viewed,62705
625,180219,101661,Other,372249
626,161271,11745,Added a Friendship,250811
627,181595,78220,Sent a Message,786579
628,135705,124839,Viewed,82550
629,194489,86529,Viewed,121387
630,79467,165840,Poked,680889
631,90191,19735,Viewed,448534
632,98270,21791,Wrote on Timeline,914742
633,39990,79056,Wrote on Timeline,68606
634,93045,192473,Wrote on Timeline,808903
635,53558,115994,Wrote on Timeline,758021
636,155960,128595,Viewed,480656
637,135007,127387,Added a Friendship,577786
638,128169,43162,Other,307556
639,66933,18899,Sent a Message,755827
640,122117,123898,Poked,408990
641,158382,108299,Poked,972538
642,72510,196034,Viewed,967543
643,131056,151344,Other,846089
644,4494,178352,Wrote on Timeline,954757
645,51787,89193,Sent a Message,851583
646,133522,69144,Added a Friendship,123690
647,130636,47171,Wrote on Timeline,153710
648,170384,39796,Viewed,234905
649,144942,47825,Wrote on Timeline,895282
650,9094,23856,Poked,676785
651,196027,174272,Added a Friendship,673532
652,37507,144407,Viewed,396981
653,114465,45396,Wrote on Timeline,186678
654,161922,23215,Poked,937926
655,169476,51749,Wrote on Timeline,910692
656,66966,115898,Wrote on Timeline,749342
657,76528,10168,Wrote on Timeline,571502
658,69295,26512,Wrote on Timeline,627823
659,34425,49882,Poked,872968
660,97418,9328,Wrote on Timeline,782214
661,156720,13716,Wrote on Timeline,103636
662,7592,75729,Other,477283
663,184569,76551,Sent a Message,242807
664,130498,24840,Sent a Message,68864
665,164054,189824,Sent a Message,769184
666,129455,39099,Viewed,443578
667,130675,4924,Other,860946
668,11896,198781,Poked,213215
669,102049,100282,Viewed,830534
670,13752,96137,Viewed,407529
671,92965,142205,Wrote on Timeline,740538
672,119206,188220,Sent a Message,383755
673,86601,84971,Sent a Message,815565
674,94139,56825,Viewed,807080
675,112240,34414,Added a Friendship,259524
676,89126,61742,Viewed,81498
677,44706,138139,Wrote on Timeline,549630
678,113692,24908,Poked,414623
679,184970,115917,Viewed,967620
680,81876,128504,Sent a Message,813217
681,87860,41601,Wrote on Timeline,872432
682,105114,160640,Added a Friendship,373957
683,25079,134865,Viewed,971324
684,127932,195374,Poked,751135
685,57317,70625,Poked,954368
686,9990,76634,Poked,768240
687,186138,53405,Wrote on Timeline,236093
688,147568,29997,Viewed,214669
689,181593,62891,Added a Friendship,483833
690,87275,157956,Other,75800
691,69661,190694,Poked,654309
692,51740,16969,Added a Friendship,398330
693,49671,15680,Added a Friendship,820937
694,863,157389,Viewed,82151
695,158490,117084,Sent a Message,427360
696,160041,53781,Added a Friendship,733351
697,116421,190890,Wrote on Timeline,544336
698,183876,76217,Viewed,842330
699,11130,20763,Sent a Message,669631
700,193154,179015,Other,990337
701,195879,86623,Added a Friendship,392
702,60393,37118,Wrote on Timeline,593842
703,148639,76098,Wrote on Timeline,644072
704,113658,51691,Wrote on Timeline,35498
705,47900,186458,Added a Friendship,726572
706,180724,72455,Viewed,207491
707,146754,74919,Other,437679
708,36812,131732,Added a Friendship,888084
709,139111,125478,Viewed,489633
710,115774,39703,Sent a Message,483386
711,94600,136272,Wrote on Timeline,7353
712,141165,112701,Sent a Message,49210
713,76855,115805,Wrote on Timeline,970703
714,95550,97546,Wrote on Timeline,359260
715,128978,159245,Added a Friendship,198446
716,115603,62876,Wrote on Timeline,447186
717,56335,54708,Wrote on Timeline,14148
718,103066,143195,Sent a Message,257407
719,56330,33462,Poked,295464
720,123232,68908,Poked,45925
721,182237,180610,Sent a Message,939229
722,74934,190025,Other,813354
723,11723,161129,Wrote on Timeline,863707
724,81831,116002,Poked,30446
725,178346,186958,Sent a Message,211618
726,97300,26266,Poked,302050
727,54797,100301,Wrote on Timeline,690642
728,112678,99988,Poked,44971
729,199016,70127,Wrote on Timeline,21744
730,188733,68447,Other,927614
731,61761,65114,Other,662080
732,193620,86532,Poked,748356
733,108775,37861,Added a Friendship,149031
734,12830,86253,Other,328997
735,44617,55710,Wrote on Timeline,981844
736,129282,58956,Other,135958
737,188358,157113,Other,61781
738,20679,22027,Other,102596
739,110464,82680,Added a Friendship,410583
740,102723,18244,Added a Friendship,696549
741,178788,41361,Other,450895
742,57780,65241,Other,683495
743,74893,108437,Viewed,578875
744,35938,192485,Added a Friendship,964236
745,82197,24486,Poked,151489
746,27804,79583,Wrote on Timeline,483305
747,65755,24115,Added a Friendship,494080
748,109025,86054,Viewed,451774
749,184311,13292,Poked,55670
750,98277,177350,Poked,819895
751,170428,180679,Sent a Message,198825
752,182751,120130,Wrote on Timeline,645707
753,137360,79359,Wrote on Timeline,399720
754,199938,124334,Wrote on Timeline,261985
755,35239,16618,Sent a Message,550984
756,66579,151319,Other,249920
757,156891,109479,Viewed,760079
758,157154,16785,Sent a Message,773436
759,81135,7186,Sent a Message,672142
760,197971,55487,Wrote on Timeline,329213
761,63235,152005,Added a Friendship,254800
762,83683,199055,Added a Friendship,297151
763,109380,157886,Added a Friendship,19289
764,51695,61230,Wrote on Timeline,192980
765,112186,159527,Poked,672593
766,156066,144046,Wrote on Timeline,504941
767,115336,120189,Wrote on Timeline,386319
768,10911,42985,Poked,583905
769,22612,24879,Added a Friendship,401808
770,29688,29778,Viewed,135927
771,152908,13589,Added a Friendship,392087
772,156664,162088,Wrote on Timeline,533208
773,188148,191892,Viewed,907855
774,38023,169427,Added a Friendship,509049
775,99615,198906,Viewed,267958
776,67402,152265,Other,7056
777,126099,3500,Wrote on Timeline,895041
778,132401,2145,Poked,337757
779,48048,76510,Other,103649
780,179345,12952,Viewed,149823
781,58550,163326,Wrote on Timeline,56886
782,80616,74409,Sent a Message,68704
783,165591,175524,Sent a Message,391696
784,184687,101229,Poked,761223
785,44310,15133,Viewed,812828
786,110093,151350,Wrote on Timeline,230675
787,3833,139142,Viewed,876276
788,121833,173611,Viewed,871933
789,60900,81478,Added a Friendship,89771
790,86743,83369,Viewed,621743
791,3023,17277,Sent a Message,632457
792,73798,104722,Wrote on Timeline,458049
793,180578,23917,Wrote on Timeline,805778
794,152561,141779,Sent a Message,835082
795,96736,158235,Added a Friendship,815026
796,165827,51559,Wrote on Timeline,961219
797,164654,145353,Wrote on Timeline,536016
798,134676,192351,Added a Friendship,470912
799,71225,98173,Other,925534
800,45443,63249,Poked,251003
801,193457,23683,Sent a Message,469142
802,74217,48238,Viewed,630173
803,72191,63002,Viewed,909991
804,118371,167030,Sent a Message,782335
805,75570,131186,Added a Friendship,605607
806,133198,134230,Other,252194
807,58586,185570,Other,236675
808,112833,30643,Viewed,375310
809,96633,159136,Viewed,21293
810,119205,74229,Sent a Message,786855
